21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2021.zip ja existe, pulando download
2026-05-02 11:21:26.117 | INFO     | __main__:main:77 - --- Etapa 3: Carga CDI diario (BCB SGS serie 12) ---
2026-05-02 11:21:26.121 | INFO     | src.fii_analysis.data.ingestion:load_cdi_to_db:368 - Baixando CDI de 2026-05-01 ate 2026-05-02 via BCB
2026-05-02 11:21:26.978 | WARNING  | src.fii_analysis.data.ingestion:load_cdi_to_db:374 - BCB falhou para chunk 2026-05-01-2026-05-02 (404 Client Error: Not Found for url: https://api.bcb.gov.br/dados/serie/bcdata.sgs.12/dados?formato=json&dataInicial=01/05/2026&dataFinal=02/05/2026). Parando backfill.
2026-05-02 11:21:26.978 | INFO     | src.fii_analysis.data.ingestion:load_cdi_to_db:394 - CDI: 0 registros inseridos no total
2026-05-02 11:21:26.981 | INFO     | __main__:main:83 - --- Etapa 4: Carga precos e dividendos (yfinance) ---
2026-05-02 11:21:26.985 | INFO     | __main__:main:88 - Processando ticker HSRE11 ...
2026-05-02 11:21:26.990 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - HSRE11: buscando a partir de 2026-05-01
2026-05-02 11:21:28.079 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - HSRE11: 0 precos inseridos
2026-05-02 11:21:29.416 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - HSRE11: 0 dividendos inseridos
2026-05-02 11:21:29.418 | INFO     | __main__:main:88 - Processando ticker GARE11 ...
2026-05-02 11:21:29.421 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - GARE11: buscando a partir de 2026-05-01
2026-05-02 11:21:29.719 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - GARE11: 0 precos inseridos
2026-05-02 11:21:30.215 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - GARE11: 0 dividendos inseridos
2026-05-02 11:21:30.216 | INFO     | __main__:main:88 - Processando ticker CPSH11 ...
2026-05-02 11:21:30.218 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - CPSH11: buscando a partir de 2026-05-01
2026-05-02 11:21:30.532 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - CPSH11: 0 precos inseridos
2026-05-02 11:21:31.140 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - CPSH11: 0 dividendos inseridos
2026-05-02 11:21:31.141 | INFO     | __main__:main:88 - Processando ticker CPTS11 ...
2026-05-02 11:21:31.143 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - CPTS11: buscando a partir de 2026-05-01
2026-05-02 11:21:31.498 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - CPTS11: 0 precos inseridos
2026-05-02 11:21:33.359 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - CPTS11: 0 dividendos inseridos
2026-05-02 11:21:33.361 | INFO     | __main__:main:88 - Processando ticker KNIP11 ...
2026-05-02 11:21:33.364 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - KNIP11: buscando a partir de 2026-05-01
2026-05-02 11:21:33.629 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - KNIP11: 0 precos inseridos
2026-05-02 11:21:34.679 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - KNIP11: 0 dividendos inseridos
2026-05-02 11:21:34.681 | INFO     | __main__:main:88 - Processando ticker SNFF11 ...
2026-05-02 11:21:34.684 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - SNFF11: buscando a partir de 2026-05-01
2026-05-02 11:21:34.978 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - SNFF11: 0 precos inseridos
2026-05-02 11:21:36.132 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - SNFF11: 0 dividendos inseridos
2026-05-02 11:21:36.134 | INFO     | __main__:main:88 - Processando ticker BTAL11 ...
2026-05-02 11:21:36.137 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - BTAL11: buscando a partir de 2026-05-01
